year,beer,wine,spirits,total,decile
2009,1.10,0.31,0.80,2.22,7 
2008,1.12,0.30,0.80,2.22,7 
2007,1.12,0.30,0.78,2.19,7 
2006,1.12,0.29,0.76,2.17,7 
2005,1.14,0.28,0.75,2.17,7 
2004,1.15,0.28,0.72,2.15,7 
2003,1.17,0.26,0.70,2.13,7 
2002,1.16,0.23,0.68,2.07,7 
2001,1.19,0.24,0.68,2.10,7 
2000,1.19,0.24,0.69,2.12,7 
1999,1.19,0.24,0.68,2.11,7 
1998,1.20,0.22,0.69,2.12,7 
1997,1.17,0.22,0.66,2.06,7 
1996,1.20,0.22,0.67,2.08,7 
1995,1.20,0.19,0.66,2.06,7 
1994,1.23,0.20,0.67,2.10,7 
1993,1.25,0.20,0.72,2.18,7 
1992,1.26,0.22,0.74,2.21,7 
1991,1.30,0.22,0.74,2.26,6 
1990,1.33,0.28,0.80,2.42,6 
1989,1.29,0.30,0.80,2.38,6 
1988,1.31,0.32,0.84,2.47,6 
1987,1.32,0.33,0.85,2.50,6 
1986,1.33,0.33,0.90,2.56,5 
1985,1.30,0.32,0.95,2.58,6 
1984,1.32,0.31,0.97,2.60,6 
1983,1.35,0.28,0.97,2.60,6 
1982,1.35,0.39,0.98,2.72,6 
1981,1.34,0.29,1.00,2.63,6 
1980,1.34,0.28,1.03,2.65,6 
1979,1.37,0.25,1.03,2.65,6 
1978,1.43,0.25,1.05,2.74,5 
1977,1.45,0.24,1.02,2.71,5 
